disambiguation_id,alumni_id,candidate_id,name_score,affiliation_score,timeline_score,field_score,cross_validation_bonus,final_score,confidence_level,decision_label,review_flag,evaluated_at
DIS-00000018,ALM-2018-01-006,CAND-ALM-2018-01-006-02,0.93,0.33,0.91,0.44,0.05,0.72,Sedang,Perlu verifikasi,Yes,2022-11-09
DIS-00000019,ALM-2018-01-006,CAND-ALM-2018-01-006-03,0.7,0.29,0.85,0.56,0.0,0.59,Rendah,Tidak cocok,Yes,2025-06-02
DIS-00000020,ALM-2018-01-007,CAND-ALM-2018-01-007-01,0.84,0.98,0.89,0.74,0.0,0.88,Tinggi,Kemungkinan kuat,No,2024-01-15
DIS-00000021,ALM-2018-01-007,CAND-ALM-2018-01-007-02,0.9,0.6,0.67,0.59,0.08,0.8,Tinggi,Kemungkinan kuat,No,2024-04-16
DIS-00000022,ALM-2018-01-007,CAND-ALM-2018-01-007-03,0.81,0.85,0.37,0.79,0.05,0.78,Sedang,Perlu verifikasi,Yes,2023-11-20
DIS-00000023,ALM-2018-01-008,CAND-ALM-2018-01-008-01,0.9,0.79,0.89,0.51,0.08,0.89,Tinggi,Kemungkinan kuat,No,2023-06-01
DIS-00000024,ALM-2018-01-008,CAND-ALM-2018-01-008-02,0.95,0.99,0.43,0.55,0.0,0.8,Tinggi,Kemungkinan kuat,No,2023-11-12
DIS-00000025,ALM-2018-01-008,CAND-ALM-2018-01-008-03,0.85,0.28,0.6,0.78,0.03,0.65,Sedang,Perlu verifikasi,Yes,2022-08-10
DIS-00000026,ALM-2018-01-009,CAND-ALM-2018-01-009-01,0.76,0.97,0.65,0.38,0.08,0.82,Tinggi,Kemungkinan kuat,No,2023-04-25
DIS-00000027,ALM-2018-01-009,CAND-ALM-2018-01-009-02,0.9,0.86,0.8,0.68,0.0,0.83,Tinggi,Kemungkinan kuat,No,2023-08-09
DIS-00000028,ALM-2018-01-009,CAND-ALM-2018-01-009-03,0.88,0.74,0.5,0.73,0.05,0.79,Sedang,Perlu verifikasi,Yes,2023-05-05
DIS-00000029,ALM-2018-01-010,CAND-ALM-2018-01-010-01,0.86,0.6,0.68,0.74,0.05,0.78,Sedang,Perlu verifikasi,Yes,2025-11-11
DIS-00000030,ALM-2018-01-010,CAND-ALM-2018-01-010-02,0.93,0.96,0.66,0.44,0.08,0.89,Tinggi,Kemungkinan kuat,No,2023-10-08
DIS-00000031,ALM-2018-01-010,CAND-ALM-2018-01-010-03,0.97,0.69,0.64,0.76,0.05,0.84,Tinggi,Kemungkinan kuat,No,2024-09-02
DIS-00000032,ALM-2018-01-011,CAND-ALM-2018-01-011-01,0.87,0.73,0.66,0.55,0.08,0.82,Tinggi,Kemungkinan kuat,No,2025-04-05
DIS-00000033,ALM-2018-01-011,CAND-ALM-2018-01-011-02,0.98,0.94,0.84,0.4,0.03,0.88,Tinggi,Kemungkinan kuat,No,2022-01-28
DIS-00000034,ALM-2018-01-012,CAND-ALM-2018-01-012-01,0.8,0.62,0.71,0.36,0.05,0.71,Sedang,Perlu verifikasi,Yes,2024-10-05
DIS-00000035,ALM-2018-01-012,CAND-ALM-2018-01-012-02,0.9,0.83,0.65,0.78,0.08,0.89,Tinggi,Kemungkinan kuat,No,2026-12-12
DIS-00000036,ALM-2018-01-012,CAND-ALM-2018-01-012-03,0.87,0.74,0.69,0.46,0.08,0.81,Tinggi,Kemungkinan kuat,No,2026-08-04
DIS-00000037,ALM-2018-01-013,CAND-ALM-2018-01-013-01,0.85,0.84,0.87,0.93,0.03,0.89,Tinggi,Kemungkinan kuat,No,2025-11-05
DIS-00000038,ALM-2018-01-013,CAND-ALM-2018-01-013-02,0.71,0.66,0.88,0.67,0.05,0.77,Sedang,Perlu verifikasi,Yes,2024-08-21
DIS-00000039,ALM-2018-01-014,CAND-ALM-2018-01-014-01,0.94,0.6,0.96,0.43,0.05,0.82,Tinggi,Kemungkinan kuat,No,2023-05-27
DIS-00000040,ALM-2018-01-014,CAND-ALM-2018-01-014-02,0.79,0.76,0.96,0.65,0.05,0.84,Tinggi,Kemungkinan kuat,No,2023-01-11
DIS-00000041,ALM-2018-01-014,CAND-ALM-2018-01-014-03,0.84,0.98,0.99,0.62,0.03,0.91,Tinggi,Kemungkinan kuat,No,2022-01-23
DIS-00000042,ALM-2018-01-015,CAND-ALM-2018-01-015-01,0.78,0.78,0.88,0.54,0.0,0.76,Sedang,Perlu verifikasi,Yes,2025-06-04
DIS-00000043,ALM-2018-01-015,CAND-ALM-2018-01-015-02,0.74,0.98,0.77,0.93,0.08,0.93,Tinggi,Kemungkinan kuat,No,2022-12-17
DIS-00000044,ALM-2018-01-015,CAND-ALM-2018-01-015-03,0.91,0.42,0.59,0.72,0.03,0.7,Sedang,Perlu verifikasi,Yes,2022-06-03
DIS-00000045,ALM-2018-01-016,CAND-ALM-2018-01-016-01,0.78,1.0,0.84,0.69,0.03,0.87,Tinggi,Kemungkinan kuat,No,2024-01-20
DIS-00000046,ALM-2018-01-016,CAND-ALM-2018-01-016-02,0.83,0.93,0.95,0.45,0.03,0.86,Tinggi,Kemungkinan kuat,No,2023-05-05
DIS-00000047,ALM-2018-01-016,CAND-ALM-2018-01-016-03,0.83,0.37,0.59,0.39,0.03,0.61,Sedang,Perlu verifikasi,Yes,2023-11-09
DIS-00000048,ALM-2018-01-017,CAND-ALM-2018-01-017-01,0.98,0.86,0.95,0.6,0.03,0.91,Tinggi,Kemungkinan kuat,No,2023-05-09
DIS-00000049,ALM-2018-01-017,CAND-ALM-2018-01-017-02,0.83,0.42,1.0,0.67,0.0,0.72,Sedang,Perlu verifikasi,Yes,2023-11-20
DIS-00000050,ALM-2018-01-017,CAND-ALM-2018-01-017-03,0.77,0.54,0.95,0.49,0.08,0.77,Sedang,Perlu verifikasi,Yes,2025-09-10
DIS-00000051,ALM-2018-01-018,CAND-ALM-2018-01-018-01,0.99,0.88,0.85,0.54,0.03,0.89,Tinggi,Kemungkinan kuat,No,2026-02-20
DIS-00000052,ALM-2018-01-018,CAND-ALM-2018-01-018-02,0.9,0.63,0.91,0.44,0.05,0.8,Tinggi,Kemungkinan kuat,No,2026-07-09
DIS-00000053,ALM-2018-01-018,CAND-ALM-2018-01-018-03,0.83,0.46,0.98,0.78,0.05,0.79,Sedang,Perlu verifikasi,Yes,2026-06-27
DIS-00000054,ALM-2018-01-019,CAND-ALM-2018-01-019-01,0.86,0.63,0.96,0.67,0.03,0.81,Tinggi,Kemungkinan kuat,No,2025-08-27
DIS-00000055,ALM-2018-01-019,CAND-ALM-2018-01-019-02,0.92,0.93,0.9,0.41,0.03,0.87,Tinggi,Kemungkinan kuat,No,2022-02-16
DIS-00000056,ALM-2018-01-019,CAND-ALM-2018-01-019-03,0.75,0.8,0.53,0.43,0.08,0.75,Sedang,Perlu verifikasi,Yes,2022-06-02
DIS-00000057,ALM-2018-01-020,CAND-ALM-2018-01-020-01,0.92,0.5,0.56,0.62,0.0,0.68,Sedang,Perlu verifikasi,Yes,2022-01-22
DIS-00000058,ALM-2018-01-020,CAND-ALM-2018-01-020-02,0.76,0.69,0.99,0.65,0.03,0.8,Tinggi,Kemungkinan kuat,No,2023-08-26
DIS-00000059,ALM-2018-01-020,CAND-ALM-2018-01-020-03,0.87,0.67,0.48,0.42,0.08,0.74,Sedang,Perlu verifikasi,Yes,2024-07-12
DIS-00000060,ALM-2018-01-021,CAND-ALM-2018-01-021-01,0.86,0.8,0.88,0.81,0.03,0.87,Tinggi,Kemungkinan kuat,No,2022-01-19
DIS-00000061,ALM-2018-01-021,CAND-ALM-2018-01-021-02,0.76,0.89,0.75,0.71,0.03,0.82,Tinggi,Kemungkinan kuat,No,2022-04-25
DIS-00000062,ALM-2018-01-021,CAND-ALM-2018-01-021-03,0.94,0.76,0.88,0.42,0.08,0.88,Tinggi,Kemungkinan kuat,No,2025-08-25
DIS-00000063,ALM-2018-01-022,CAND-ALM-2018-01-022-01,0.88,0.38,0.98,0.65,0.0,0.72,Sedang,Perlu verifikasi,Yes,2022-02-06
DIS-00000064,ALM-2018-01-022,CAND-ALM-2018-01-022-02,0.99,0.98,0.9,0.53,0.0,0.9,Tinggi,Kemungkinan kuat,No,2022-03-12
DIS-00000065,ALM-2018-01-023,CAND-ALM-2018-01-023-01,0.81,0.47,0.84,0.81,0.08,0.79,Sedang,Perlu verifikasi,Yes,2022-02-24
DIS-00000066,ALM-2018-01-023,CAND-ALM-2018-01-023-02,0.93,0.54,0.92,0.73,0.03,0.81,Tinggi,Kemungkinan kuat,No,2024-05-13
DIS-00000067,ALM-2018-01-023,CAND-ALM-2018-01-023-03,0.96,0.63,0.37,0.66,0.08,0.78,Sedang,Perlu verifikasi,Yes,2024-07-26
DIS-00000068,ALM-2018-01-024,CAND-ALM-2018-01-024-01,0.91,0.73,0.28,0.43,0.0,0.66,Sedang,Perlu verifikasi,Yes,2023-12-04
DIS-00000069,ALM-2018-01-024,CAND-ALM-2018-01-024-02,0.88,0.79,0.81,0.37,0.05,0.81,Tinggi,Kemungkinan kuat,No,2025-11-16
DIS-00000070,ALM-2018-01-024,CAND-ALM-2018-01-024-03,0.86,0.95,0.61,0.64,0.03,0.83,Tinggi,Kemungkinan kuat,No,2022-05-19
DIS-00000071,ALM-2018-01-024,CAND-ALM-2018-01-024-04,0.91,0.61,0.78,0.7,0.05,0.81,Tinggi,Kemungkinan kuat,No,2023-02-05
DIS-00000072,ALM-2018-01-025,CAND-ALM-2018-01-025-01,0.9,0.21,0.8,0.52,0.05,0.67,Sedang,Perlu verifikasi,Yes,2026-03-14
DIS-00000073,ALM-2018-01-025,CAND-ALM-2018-01-025-02,0.98,0.81,0.81,0.38,0.0,0.8,Tinggi,Kemungkinan kuat,No,2026-04-06
DIS-00000074,ALM-2018-01-025,CAND-ALM-2018-01-025-03,0.89,0.77,1.0,0.96,0.0,0.89,Tinggi,Kemungkinan kuat,No,2023-06-28
DIS-00000075,ALM-2018-01-026,CAND-ALM-2018-01-026-01,0.71,0.96,0.6,0.39,0.0,0.71,Sedang,Perlu verifikasi,Yes,2023-12-04
DIS-00000076,ALM-2018-01-026,CAND-ALM-2018-01-026-02,0.92,0.68,0.62,0.78,0.0,0.77,Sedang,Perlu verifikasi,Yes,2023-10-25
DIS-00000077,ALM-2018-01-026,CAND-ALM-2018-01-026-03,0.93,0.72,0.54,0.69,0.05,0.8,Tinggi,Kemungkinan kuat,No,2022-11-18
DIS-00000078,ALM-2018-01-026,CAND-ALM-2018-01-026-04,0.81,0.85,0.94,0.53,0.03,0.84,Tinggi,Kemungkinan kuat,No,2023-06-23
DIS-00000079,ALM-2018-01-027,CAND-ALM-2018-01-027-01,0.71,0.76,0.46,0.48,0.03,0.67,Sedang,Perlu verifikasi,Yes,2022-11-22
DIS-00000080,ALM-2018-01-027,CAND-ALM-2018-01-027-02,0.91,0.96,0.34,0.62,0.03,0.8,Tinggi,Kemungkinan kuat,No,2023-01-18
DIS-00000081,ALM-2018-01-027,CAND-ALM-2018-01-027-03,0.93,0.41,0.75,0.66,0.05,0.75,Sedang,Perlu verifikasi,Yes,2022-10-15
DIS-00000082,ALM-2018-01-028,CAND-ALM-2018-01-028-01,0.82,0.75,0.58,0.55,0.03,0.74,Sedang,Perlu verifikasi,Yes,2025-03-12
DIS-00000083,ALM-2018-01-028,CAND-ALM-2018-01-028-02,0.77,0.81,0.7,0.42,0.05,0.77,Sedang,Perlu verifikasi,Yes,2022-10-11
DIS-00000084,ALM-2018-01-028,CAND-ALM-2018-01-028-03,0.85,0.8,0.97,0.49,0.05,0.86,Tinggi,Kemungkinan kuat,No,2025-04-22
DIS-00000085,ALM-2018-01-029,CAND-ALM-2018-01-029-01,0.84,0.94,0.57,0.89,0.0,0.82,Tinggi,Kemungkinan kuat,No,2025-12-18
DIS-00000086,ALM-2018-01-029,CAND-ALM-2018-01-029-02,0.97,0.43,0.95,0.38,0.05,0.77,Sedang,Perlu verifikasi,Yes,2023-06-12
DIS-00000087,ALM-2018-01-029,CAND-ALM-2018-01-029-03,0.98,0.94,0.65,0.64,0.0,0.85,Tinggi,Kemungkinan kuat,No,2026-10-22
DIS-00000088,ALM-2018-01-030,CAND-ALM-2018-01-030-01,0.71,0.63,0.91,0.74,0.05,0.78,Sedang,Perlu verifikasi,Yes,2026-03-13
DIS-00000089,ALM-2018-01-030,CAND-ALM-2018-01-030-02,0.77,0.77,0.84,0.48,0.05,0.79,Sedang,Perlu verifikasi,Yes,2025-12-04
DIS-00000090,ALM-2018-01-030,CAND-ALM-2018-01-030-03,0.77,0.94,0.95,0.75,0.08,0.93,Tinggi,Kemungkinan kuat,No,2025-04-14
DIS-00000091,ALM-2018-01-031,CAND-ALM-2018-01-031-01,0.87,0.71,0.9,0.38,0.0,0.75,Sedang,Perlu verifikasi,Yes,2024-01-22
DIS-00000092,ALM-2018-01-031,CAND-ALM-2018-01-031-02,0.99,0.4,0.97,0.75,0.0,0.77,Sedang,Perlu verifikasi,Yes,2022-09-14
DIS-00000093,ALM-2018-01-031,CAND-ALM-2018-01-031-03,0.95,0.72,0.51,0.51,0.0,0.73,Sedang,Perlu verifikasi,Yes,2025-07-23
DIS-00000094,ALM-2018-01-031,CAND-ALM-2018-01-031-04,0.72,0.68,0.7,0.71,0.03,0.73,Sedang,Perlu verifikasi,Yes,2024-11-16
DIS-00000095,ALM-2018-01-032,CAND-ALM-2018-01-032-01,0.94,0.74,0.71,0.79,0.05,0.86,Tinggi,Kemungkinan kuat,No,2025-04-13
DIS-00000096,ALM-2018-01-032,CAND-ALM-2018-01-032-02,0.94,0.77,0.68,0.41,0.05,0.81,Tinggi,Kemungkinan kuat,No,2025-07-14
DIS-00000097,ALM-2018-01-033,CAND-ALM-2018-01-033-01,0.8,0.85,0.89,0.87,0.05,0.89,Tinggi,Kemungkinan kuat,No,2026-11-27
DIS-00000098,ALM-2018-01-033,CAND-ALM-2018-01-033-02,0.71,0.68,0.97,0.5,0.08,0.8,Tinggi,Kemungkinan kuat,No,2023-09-25
DIS-00000099,ALM-2018-01-033,CAND-ALM-2018-01-033-03,0.9,0.85,0.97,0.41,0.08,0.91,Tinggi,Kemungkinan kuat,No,2026-04-08
DIS-00000100,ALM-2018-01-034,CAND-ALM-2018-01-034-01,0.78,0.99,0.77,0.71,0.03,0.86,Tinggi,Kemungkinan kuat,No,2024-07-26
DIS-00000101,ALM-2018-01-034,CAND-ALM-2018-01-034-02,0.76,0.99,0.95,0.6,0.03,0.87,Tinggi,Kemungkinan kuat,No,2025-09-19
DIS-00000102,ALM-2018-01-034,CAND-ALM-2018-01-034-03,0.84,0.89,0.59,0.62,0.08,0.85,Tinggi,Kemungkinan kuat,No,2024-05-03
DIS-00000103,ALM-2018-01-035,CAND-ALM-2018-01-035-01,0.87,0.58,0.95,0.58,0.03,0.79,Sedang,Perlu verifikasi,Yes,2023-07-15
DIS-00000104,ALM-2018-01-035,CAND-ALM-2018-01-035-02,0.71,0.68,0.25,0.47,0.08,0.65,Sedang,Perlu verifikasi,Yes,2023-08-14
DIS-00000105,ALM-2018-01-035,CAND-ALM-2018-01-035-03,0.72,0.79,0.82,0.81,0.03,0.8,Tinggi,Kemungkinan kuat,No,2022-10-08
DIS-00000106,ALM-2018-01-036,CAND-ALM-2018-01-036-01,0.85,0.68,0.28,0.66,0.08,0.74,Sedang,Perlu verifikasi,Yes,2024-10-26
DIS-00000107,ALM-2018-01-036,CAND-ALM-2018-01-036-02,0.85,0.66,0.71,0.63,0.03,0.76,Sedang,Perlu verifikasi,Yes,2023-03-26
DIS-00000108,ALM-2018-01-036,CAND-ALM-2018-01-036-03,0.82,0.87,0.96,0.47,0.05,0.86,Tinggi,Kemungkinan kuat,No,2024-04-28
DIS-00000109,ALM-2018-01-037,CAND-ALM-2018-01-037-01,0.7,0.79,0.31,0.38,0.0,0.6,Sedang,Perlu verifikasi,Yes,2023-03-03
DIS-00000110,ALM-2018-01-037,CAND-ALM-2018-01-037-02,0.89,0.87,0.59,0.46,0.03,0.79,Sedang,Perlu verifikasi,Yes,2022-08-02
DIS-00000111,ALM-2018-01-037,CAND-ALM-2018-01-037-03,0.87,0.85,0.94,0.63,0.03,0.87,Tinggi,Kemungkinan kuat,No,2023-07-11
DIS-00000112,ALM-2018-01-037,CAND-ALM-2018-01-037-04,0.86,0.94,0.49,0.94,0.03,0.85,Tinggi,Kemungkinan kuat,No,2022-12-12
DIS-00000113,ALM-2018-01-038,CAND-ALM-2018-01-038-01,0.99,0.79,0.95,0.72,0.08,0.96,Tinggi,Kemungkinan kuat,No,2024-12-25
DIS-00000114,ALM-2018-01-038,CAND-ALM-2018-01-038-02,0.81,0.37,0.88,0.74,0.03,0.71,Sedang,Perlu verifikasi,Yes,2024-11-21
DIS-00000115,ALM-2018-01-038,CAND-ALM-2018-01-038-03,0.78,0.76,0.94,0.73,0.0,0.8,Tinggi,Kemungkinan kuat,No,2025-08-16
DIS-00000116,ALM-2018-01-038,CAND-ALM-2018-01-038-04,0.76,0.86,0.92,0.8,0.0,0.83,Tinggi,Kemungkinan kuat,No,2026-10-08
DIS-00000117,ALM-2018-01-039,CAND-ALM-2018-01-039-01,0.78,0.61,0.61,0.7,0.03,0.71,Sedang,Perlu verifikasi,Yes,2024-04-02
DIS-00000118,ALM-2018-01-039,CAND-ALM-2018-01-039-02,0.73,0.67,0.73,0.65,0.08,0.78,Sedang,Perlu verifikasi,Yes,2023-07-21
DIS-00000119,ALM-2018-01-039,CAND-ALM-2018-01-039-03,0.89,0.4,0.82,0.76,0.03,0.74,Sedang,Perlu verifikasi,Yes,2025-01-17
DIS-00000120,ALM-2018-01-040,CAND-ALM-2018-01-040-01,0.98,0.66,0.97,0.7,0.05,0.89,Tinggi,Kemungkinan kuat,No,2023-06-26
DIS-00000121,ALM-2018-01-040,CAND-ALM-2018-01-040-02,0.76,0.91,0.87,0.49,0.03,0.82,Tinggi,Kemungkinan kuat,No,2025-05-14
DIS-00000122,ALM-2018-01-040,CAND-ALM-2018-01-040-03,0.82,0.65,0.72,0.65,0.05,0.77,Sedang,Perlu verifikasi,Yes,2026-05-14
DIS-00000123,ALM-2018-01-041,CAND-ALM-2018-01-041-01,0.8,0.49,0.97,0.7,0.03,0.76,Sedang,Perlu verifikasi,Yes,2023-10-09
DIS-00000124,ALM-2018-01-041,CAND-ALM-2018-01-041-02,0.97,0.85,0.45,0.72,0.03,0.82,Tinggi,Kemungkinan kuat,No,2023-05-12
DIS-00000125,ALM-2018-01-041,CAND-ALM-2018-01-041-03,0.88,0.65,0.32,0.61,0.08,0.74,Sedang,Perlu verifikasi,Yes,2023-09-08
DIS-00000126,ALM-2018-01-042,CAND-ALM-2018-01-042-01,0.88,0.7,0.3,0.65,0.03,0.71,Sedang,Perlu verifikasi,Yes,2023-04-13
DIS-00000127,ALM-2018-01-042,CAND-ALM-2018-01-042-02,0.87,0.69,0.6,0.75,0.08,0.82,Tinggi,Kemungkinan kuat,No,2022-12-13
DIS-00000128,ALM-2018-01-042,CAND-ALM-2018-01-042-03,0.99,0.77,0.91,0.57,0.0,0.84,Tinggi,Kemungkinan kuat,No,2025-07-22
DIS-00000129,ALM-2018-01-043,CAND-ALM-2018-01-043-01,0.88,0.72,0.84,0.98,0.05,0.89,Tinggi,Kemungkinan kuat,No,2024-07-05
DIS-00000130,ALM-2018-01-043,CAND-ALM-2018-01-043-02,0.94,0.63,0.4,0.54,0.05,0.73,Sedang,Perlu verifikasi,Yes,2022-07-21
DIS-00000131,ALM-2018-01-044,CAND-ALM-2018-01-044-01,0.9,0.96,0.95,0.78,0.08,0.99,Tinggi,Kemungkinan kuat,No,2025-10-08
DIS-00000132,ALM-2018-01-044,CAND-ALM-2018-01-044-02,0.98,0.56,0.84,0.7,0.03,0.81,Tinggi,Kemungkinan kuat,No,2025-05-28
DIS-00000133,ALM-2018-01-044,CAND-ALM-2018-01-044-03,0.86,0.68,0.91,0.51,0.0,0.76,Sedang,Perlu verifikasi,Yes,2024-06-12
DIS-00000134,ALM-2018-01-045,CAND-ALM-2018-01-045-01,0.87,0.78,0.55,0.62,0.03,0.77,Sedang,Perlu verifikasi,Yes,2025-02-13
DIS-00000135,ALM-2018-01-045,CAND-ALM-2018-01-045-02,0.78,0.22,0.99,0.79,0.05,0.71,Sedang,Perlu verifikasi,Yes,2024-09-03
DIS-00000136,ALM-2018-01-045,CAND-ALM-2018-01-045-03,0.96,0.97,0.67,0.58,0.05,0.9,Tinggi,Kemungkinan kuat,No,2022-12-24
DIS-00000137,ALM-2018-01-045,CAND-ALM-2018-01-045-04,0.9,0.99,0.89,0.6,0.05,0.93,Tinggi,Kemungkinan kuat,No,2025-11-19
DIS-00000138,ALM-2018-01-046,CAND-ALM-2018-01-046-01,0.85,0.74,0.71,0.6,0.03,0.78,Sedang,Perlu verifikasi,Yes,2025-12-15
DIS-00000139,ALM-2018-01-046,CAND-ALM-2018-01-046-02,0.98,0.62,0.83,0.67,0.08,0.88,Tinggi,Kemungkinan kuat,No,2023-07-05
DIS-00000140,ALM-2018-01-046,CAND-ALM-2018-01-046-03,0.97,0.69,0.6,0.62,0.05,0.81,Tinggi,Kemungkinan kuat,No,2025-12-15
DIS-00000141,ALM-2018-01-047,CAND-ALM-2018-01-047-01,0.76,0.73,0.44,0.74,0.08,0.76,Sedang,Perlu verifikasi,Yes,2025-06-11
DIS-00000142,ALM-2018-01-047,CAND-ALM-2018-01-047-02,0.96,0.35,0.83,0.58,0.03,0.72,Sedang,Perlu verifikasi,Yes,2023-12-21
DIS-00000143,ALM-2018-01-048,CAND-ALM-2018-01-048-01,0.72,0.39,0.84,0.39,0.08,0.68,Sedang,Perlu verifikasi,Yes,2025-11-18
DIS-00000144,ALM-2018-01-048,CAND-ALM-2018-01-048-02,0.71,0.71,0.86,0.71,0.05,0.79,Sedang,Perlu verifikasi,Yes,2025-10-19
DIS-00000145,ALM-2018-01-048,CAND-ALM-2018-01-048-03,0.98,0.47,0.92,0.74,0.05,0.83,Tinggi,Kemungkinan kuat,No,2024-09-13
DIS-00000146,ALM-2018-01-049,CAND-ALM-2018-01-049-01,0.72,0.71,0.37,0.78,0.03,0.69,Sedang,Perlu verifikasi,Yes,2022-11-08
DIS-00000147,ALM-2018-01-049,CAND-ALM-2018-01-049-02,0.83,0.45,0.94,0.42,0.03,0.71,Sedang,Perlu verifikasi,Yes,2025-07-03
DIS-00000148,ALM-2018-01-049,CAND-ALM-2018-01-049-03,0.76,0.79,0.86,0.35,0.05,0.78,Sedang,Perlu verifikasi,Yes,2022-05-10
DIS-00000149,ALM-2018-01-050,CAND-ALM-2018-01-050-01,0.86,0.69,0.94,0.79,0.03,0.84,Tinggi,Kemungkinan kuat,No,2022-01-10
DIS-00000150,ALM-2018-01-050,CAND-ALM-2018-01-050-02,0.73,0.89,0.96,0.97,0.0,0.86,Tinggi,Kemungkinan kuat,No,2025-09-13
DIS-00000151,ALM-2018-01-050,CAND-ALM-2018-01-050-03,0.88,0.31,0.67,0.75,0.08,0.73,Sedang,Perlu verifikasi,Yes,2022-12-21
DIS-00000152,ALM-2018-01-050,CAND-ALM-2018-01-050-04,0.9,0.93,0.88,0.46,0.03,0.87,Tinggi,Kemungkinan kuat,No,2025-12-26
DIS-00000153,ALM-2018-01-051,CAND-ALM-2018-01-051-01,0.76,0.6,0.93,0.48,0.0,0.7,Sedang,Perlu verifikasi,Yes,2023-04-16
DIS-00000154,ALM-2018-01-051,CAND-ALM-2018-01-051-02,0.89,0.78,0.87,0.67,0.05,0.87,Tinggi,Kemungkinan kuat,No,2024-02-14
DIS-00000155,ALM-2018-01-052,CAND-ALM-2018-01-052-01,0.74,0.66,0.96,0.57,0.0,0.73,Sedang,Perlu verifikasi,Yes,2022-01-17
DIS-00000156,ALM-2018-01-052,CAND-ALM-2018-01-052-02,0.9,0.54,0.36,0.53,0.08,0.71,Sedang,Perlu verifikasi,Yes,2024-12-01
DIS-00000157,ALM-2018-01-052,CAND-ALM-2018-01-052-03,0.74,0.55,0.73,0.63,0.0,0.66,Sedang,Perlu verifikasi,Yes,2023-01-08
DIS-00000158,ALM-2018-01-052,CAND-ALM-2018-01-052-04,0.95,0.95,0.53,0.52,0.03,0.83,Tinggi,Kemungkinan kuat,No,2022-08-12
DIS-00000159,ALM-2018-01-053,CAND-ALM-2018-01-053-01,0.73,0.9,0.83,0.52,0.05,0.82,Tinggi,Kemungkinan kuat,No,2026-03-06
DIS-00000160,ALM-2018-01-053,CAND-ALM-2018-01-053-02,0.99,0.6,0.86,0.76,0.0,0.81,Tinggi,Kemungkinan kuat,No,2024-12-24
DIS-00000161,ALM-2018-01-053,CAND-ALM-2018-01-053-03,0.96,0.39,0.7,0.64,0.05,0.74,Sedang,Perlu verifikasi,Yes,2025-02-19
